title,description,price,rating,reviews,additional_info
Asus VivoBook X441NA-GA190,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",295.99,3,14,"{'128': 295.99, '256': 315.99, '512': 335.99, '1024': 355.99}"
Prestigio SmartBook 133S Dark Grey,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",299.0,2,8,"{'128': 299.0, '256': 319.0, '512': 339.0, '1024': 359.0}"
Prestigio SmartBook 133S Gold,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",299.0,4,12,"{'128': 299.0, '256': 319.0, '512': 339.0, '1024': 359.0}"
Aspire E1-510,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",306.99,3,2,"{'128': 306.99, '256': 326.99, '512': 346.99, '1024': 366.99}"
Lenovo V110-15IAP,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",321.94,3,5,"{'128': 321.94, '256': 341.94, '512': 361.94, '1024': 381.94}"
Lenovo V110-15IAP,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",356.49,2,6,"{'128': 356.49, '256': 376.49, '512': 396.49, '1024': 416.49}"
Hewlett Packard 250 G6 Dark Ash Silver,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",364.46,1,12,"{'128': 364.46, '256': 384.46, '512': 404.46, '1024': 424.46}"
Acer Aspire 3 A315-31 Black,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",372.7,2,2,"{'128': 372.7, '256': 392.7, '512': 412.7, '1024': 432.7}"
Acer Aspire A315-31-C33J,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",379.94,2,0,"{'128': 379.94, '256': 399.94, '512': 419.94, '1024': 439.94}"
Acer Aspire ES1-572 Black,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",379.95,4,9,"{'128': 379.95, '256': 399.95, '512': 419.95, '1024': 439.95}"
Acer Aspire 3 A315-31 Black,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",391.48,4,10,"{'128': 391.48, '256': 411.48, '512': 431.48, '1024': 451.48}"
Acer Aspire 3 A315-21,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",393.88,3,9,"{'128': 393.88, '256': 413.88, '512': 433.88, '1024': 453.88}"
Asus VivoBook Max,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",399.0,1,4,"{'128': 399.0, '256': 419.0, '512': 439.0, '1024': 459.0}"
Asus VivoBook E502NA-GO022T Dark Blue,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",399.99,4,3,"{'128': 399.99, '256': 419.99, '512': 439.99, '1024': 459.99}"
Lenovo ThinkPad E31-80,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",404.23,1,12,"{'128': 404.23, '256': 424.23, '512': 444.23, '1024': 464.23}"
Acer Aspire 3 A315-31 Black,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",408.98,4,10,"{'128': 408.98, '256': 428.98, '512': 448.98, '1024': 468.98}"
Lenovo V110-15ISK,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",409.63,3,9,"{'128': 409.63, '256': 429.63, '512': 449.63, '1024': 469.63}"
